YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,SOIL_TYPE,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUPS
2004,Hassan,41290,3296.26,26.8,Alluvial,Spray,25,50,Coconut,203317,Rabi,Y1,High
2005,Hassan,167,3296.26,26.8,Alluvial,Spray,4,54,Coconut,2134,Rabi,Y1,High
2006,Hassan,8847,3296.26,37,Alluvial,Drip,9,53,Cocoa,45186,Rabi,Y1,High
2007,Hassan,41626,3875.08,37,Alluvial,Drip,12,52,Cocoa,238542,Rabi,Y1,High
2008,Hassan,143,3875.08,37,Alluvial,Drip,2089,51,Cocoa,1516,Rabi,Y1,High
2009,Hassan,8686,3875.08,38,Alluvial,Drip,2810,57,Cocoa,57259,Rabi,Y1,High
2004,Mangalore,41342,3965.94,41,Alluvial,Drip,2628,59.5,Coffee,234581,Rabi,Y1,High
2005,Mangalore,125,3965.94,41,Alluvial,Drip,1939,55,Coffee,646,Rabi,Y1,High
2004,Mangalore,38062,3905,27,Alluvial,Drip,874,55,Cardamum,203317,Rabi,Y1,High
2005,Mangalore,84,3905,27.2,Alluvial,Drip,592,56,Cardamum,2134,Rabi,Y1,High
2006,Mangalore,6674,3905,27.2,Alluvial,Drip,864,54,Cardamum,45186,Rabi,Y1,High
2007,Mangalore,36096,4019.4,27.2,Alluvial,Drip,5373,58,Cardamum,238542,Rabi,Y1,High
2008,Mangalore,77,4019.4,27,Black,Drip,6589,58,Cardamum,1516,Rabi,Y1,High
2009,Mangalore,5629,4019.4,27,Black,Drip,5107,59,Cardamum,57259,Rabi,Y1,High
2004,Kodagu,5997,3875.08,38,Black,Basin,2628,53,Pepper,44235,Rabi,Y1,High
2005,Kodagu,6076,3875.08,38,Black,Basin,1939,53.5,Pepper,203317,Rabi,Y1,High
2006,Kodagu,6249,3875.08,39,Black,Basin,1871,52.5,Pepper,2134,Rabi,Y1,High
2007,Kodagu,6363,3193.41,39,Black,Basin,1868,56,Pepper,45186,Rabi,Y1,High
2008,Kodagu,26,3193.41,39,Black,Basin,127919,57,Pepper,238542,Rabi,Y1,High
2009,Kodagu,1,3193.41,40,Black,Basin,75340,57.5,Pepper,1516,Rabi,Y1,High
2004,Mysuru,6,3965.94,27,Black,Basin,2089,57,Ginger,249978,Rabi,Y1,High
2005,Mysuru,23,3965.94,27.2,Black,Basin,2810,57,Ginger,637,Rabi,Y1,High
2006,Mysuru,1,3965.94,27.2,Loam,Basin,841,54,Ginger,43311,Rabi,Y1,High
2007,Mysuru,11126,3863.64,27.2,Loam,Basin,3550,54.5,Ginger,24848,Rabi,Y1,High
2008,Mysuru,11343,3863.64,27,Loam,Basin,109,56.6,Ginger,761,Rabi,Y1,High
2009,Mysuru,11485,3863.64,27,Loam,Basin,3368,55.5,Ginger,45608,Rabi,Y1,High
2005,Mysuru,501,3193.41,39,Loam,Spray,5518,51,Tea,43311,Rabi,Y1,High
2006,Mysuru,317,3193.41,39,Loam,Spray,4912,57,Tea,24848,Rabi,Y1,High
2007,Mysuru,171,3193.41,40,Loam,Spray,3830,57,Tea,761,Rabi,Y1,High
2008,Mysuru,124,3296.26,40,Loam,Spray,313547,60,Tea,45608,Rabi,Y1,High
2009,Mysuru,90,3296.26,40,Loam,Spray,2783,57,Paddy,234581,Rabi,Y1,High
2004,Kasaragodu,1189,3020.82,27,Light sandy,Spray,3138,54,Groundnut,2644,Zaid,Y1,High
2005,Kasaragodu,460,3020.82,27,Light sandy,Spray,3423,58,Groundnut,44235,Zaid,Y1,High
2006,Kasaragodu,329,3696,27,Light sandy,Spray,3899,58,Groundnut,203317,Zaid,Y1,High
2007,Kasaragodu,143,3696,27,Light sandy,Spray,4015,59,Groundnut,2134,Zaid,Y1,High
2008,Kasaragodu,41,3696,27,Light sandy,Spray,4279,50,Groundnut,45186,Zaid,Y1,High
2009,Kasaragodu,140,3965.94,27.2,Light sandy,Spray,4167,54,Groundnut,238542,Zaid,Y1,High
2004,Kasaragodu,3788,3965.94,40,Heavy clay,Drip,770,59.5,Blackgram,44235,Zaid,Y1,High
2005,Kasaragodu,3891,3965.94,41,Heavy clay,Drip,395,55,Blackgram,203317,Zaid,Y1,High
2006,Kasaragodu,3029,3965.94,41,Heavy clay,Drip,187,53,Cashew,2134,Zaid,Y1,High
2007,Kasaragodu,2858,3863.64,41,Heavy clay,Drip,187,53.5,Cashew,45186,Zaid,Y1,High
2008,Kasaragodu,2956,3863.64,42,Heavy clay,Drip,121,52.5,Cashew,238542,Zaid,Y1,High
2009,Raichur,1113,3863.64,42,Heavy clay,Drip,103,56,Cashew,1516,Zaid,Y1,High
2004,Raichur,8847,3193.41,143,Heavy clay,Drip,71,57,Coconut,44235,Zaid,Y1,High
2005,Raichur,41626,3193.41,144,Heavy clay,Drip,52,57.5,Coconut,203317,Zaid,Y1,High
2006,Raichur,143,3193.41,145,Heavy clay,Drip,2570,57,Coconut,2134,Zaid,Y1,High
2007,Raichur,8686,3296.26,146,Loam,Drip,27170,55,Coconut,45186,Zaid,Y1,High
2008,Raichur,41884,3296.26,147,Loam,Drip,114744,56,Coconut,238542,Zaid,Y1,High
2009,Raichur,118,3296.26,148,Loam,Drip,1402,54,Coconut,1516,Zaid,Y1,High
2004,Gulbarga,38232,3415.5,162,Loam,Basin,1402,57.5,Ginger,1493,Zaid,Y1,High
2004,Gulbarga,128,3415.5,163,Loam,Basin,23456,57,Ginger,64409,Zaid,Y1,High
2004,Gulbarga,7276,3415.5,164,Loam,Basin,107809,55,Ginger,249978,Zaid,Y1,High
2004,Gulbarga,6674,3193.41,167,Loam,Drip,126487,57,Coconut,200000,Zaid,Y1,High
2004,Gulbarga,36096,3193.41,168,Loam,Drip,804,57.5,Coconut,4847,Zaid,Y1,High
2004,Gulbarga,77,3193.41,169,Loam,Drip,30362,57,Coconut,51239,Zaid,Y1,High
2004,Gulbarga,5629,3296.26,170,Loam,Drip,124492,55,Coconut,216396,Zaid,Y1,High
2004,Gulbarga,36177,3296.26,171,Loam,Drip,792,56,Coconut,2644,Zaid,Y1,High
2004,Gulbarga,89,3296.26,172,Loam,Drip,34153,54,Coconut,44235,Zaid,Y1,High
2004,Gulbarga,5528,3193.41,173,Loam,Drip,132551,58,Coconut,203317,Zaid,Y1,High
2004,Gulbarga,34841,3193.41,174,Loam,Drip,338,58,Coconut,2134,Zaid,Y1,High
2004,Gulbarga,77,3193.41,175,Loam,Drip,22966,59,Coconut,45186,Zaid,Y1,High
2004,Gulbarga,5217,3296.26,176,Loam,Drip,131763,50,Coconut,238542,Zaid,Y1,High
2004,Gulbarga,3250,3296.26,177,Dry sandy ,Drip,404,54,Coconut,1516,Zaid,Y1,High
2004,Gulbarga,3950,3296.26,178,Dry sandy ,Drip,24184,53,Coconut,57259,Zaid,Y1,High
2004,Gulbarga,3993,3875.08,179,Dry sandy ,Drip,124387,52,Coconut,234779,Zaid,Y1,High
2004,Gulbarga,4013,3875.08,180,Dry sandy ,Drip,343,51,Coconut,1493,Zaid,Y1,High
2004,Gulbarga,4065,3875.08,181,Dry sandy ,Drip,23099,57,Coconut,64409,Zaid,Y1,High
2004,Gulbarga,4153,4102.78,182,Dry sandy ,Drip,117826,57,Coconut,249978,Zaid,Y1,High
2004,Gulbarga,4191,4102.78,183,Dry sandy ,Drip,336,60,Coconut,637,Zaid,Y1,High
2004,Gulbarga,4289,4102.78,184,Dry sandy ,Drip,22594,57,Coconut,43311,Zaid,Y1,High
2004,Gulbarga,4434,3020.82,185,Dry sandy ,Drip,116481,57,Coconut,24848,Zaid,Y1,High
2004,Gulbarga,4750,3020.82,186,Dry sandy ,Drip,316,54,Coconut,761,Zaid,Y1,High
2004,Gulbarga,5693,3020.82,187,Dry sandy ,Drip,21400,54.5,Coconut,45608,Zaid,Y1,High
2004,Gulbarga,5997,3696,188,Dry sandy ,Drip,122102,56.6,Coconut,234581,Zaid,Y1,High
2004,Gulbarga,6076,3696,189,Dry sandy ,Drip,382,55.5,Coconut,646,Zaid,Y1,High
2004,Gulbarga,6249,3696,190,Dry sandy ,Drip,19578,58.5,Coconut,43562,Zaid,Y1,High
2004,Madikeri,6363,3965.94,191,Dry sandy ,Drip,121037,59.5,Coconut,200000,Zaid,Y1,High
2004,Madikeri,26,3965.94,192,Dry sandy ,Drip,231,55,Coconut,4847,Zaid,Y1,High
2004,Madikeri,1,3965.94,193,Dry sandy ,Drip,18951,53,Coconut,51239,Zaid,Y1,High
2004,Madikeri,24,3863.64,194,Dry sandy ,Drip,110579,53.5,Coconut,216396,Zaid,Y1,High
2004,Madikeri,5,3863.64,195,Dry sandy ,Drip,221,52.5,Coconut,2644,Zaid,Y1,High
2004,Madikeri,13,3863.64,196,Dry sandy ,Drip,15362,56,Coconut,44235,Zaid,Y1,High
2004,Madikeri,4,3625.6,197,Dry sandy ,Drip,120373,57,Coconut,203317,Zaid,Y1,High
2004,Madikeri,32,3625.6,198,Dry sandy ,Drip,291,57.5,Coconut,2134,Zaid,Y1,High
2004,Madikeri,5,3625.6,199,Dry sandy ,Drip,17231,57,Coconut,45186,Zaid,Y1,High
2004,Madikeri,10,3905,200,Dry sandy ,Drip,119359,55,Coconut,238542,Zaid,Y1,High
2004,Madikeri,3,3905,201,Dry sandy ,Drip,283,56,Coconut,1516,Zaid,Y1,High
2004,Madikeri,14,3905,202,Dry sandy ,Drip,17690,54,Coconut,57259,Zaid,Y1,High
2004,Madikeri,3,4019.4,203,Dry sandy ,Drip,7157,58,Coconut,234779,Zaid,Y1,High
2004,Madikeri,7,4019.4,204,Dry sandy ,Drip,8700,58,Coconut,1493,Zaid,Y1,High
2004,Madikeri,17,4019.4,205,Dry sandy ,Drip,41266,59,Coconut,64409,Zaid,Y1,High
2004,Madikeri,11126,3415.5,212,Dry sandy ,Basin,49084,57,Coconut,234581,Zaid,Y1,High
2004,Madikeri,11343,3415.5,213,Dry sandy ,Basin,86311,60,Coconut,646,Zaid,Y1,High
2004,Madikeri,11485,3415.5,214,Dry sandy ,Basin,57642,57,Coconut,43562,Zaid,Y1,High
2004,Madikeri,12049,3193.41,217,Dry sandy ,Basin,109506,54.5,Coconut,51239,Zaid,Y1,High
2004,Madikeri,12130,3193.41,218,Dry sandy ,Basin,114,56.6,Coconut,216396,Zaid,Y1,High
2004,Madikeri,12157,3193.41,219,Dry sandy ,Basin,3,55.5,Coconut,2644,Zaid,Y1,High
2004,Madikeri,12243,3296.26,220,Dry sandy ,Basin,95,58.5,Coconut,44235,Zaid,Y1,High
2004,Chikmangaluru,13142,3296.26,221,Dry sandy ,Basin,19,59.5,Coconut,203317,Zaid,Y1,High
2004,Chikmangaluru,13847,3296.26,222,Dry sandy ,Basin,54,55,Coconut,2134,Zaid,Y1,High
2004,Chikmangaluru,14185,3875.08,27,Dry sandy ,Basin,13,53,Coconut,45186,Zaid,Y1,High
2004,Chikmangaluru,14245,3875.08,27,Dry sandy ,Basin,123,53.5,Coconut,238542,Zaid,Y1,High
2004,Chikmangaluru,14395,3875.08,27,Dry sandy ,Basin,19,52.5,Coconut,1516,Zaid,Y1,High
2004,Chikmangaluru,14439,4102.78,27,Dry sandy ,Basin,32,56,Coconut,57259,Zaid,Y1,High
2004,Chikmangaluru,2549,4102.78,27,Dry sandy ,Basin,8,57,Coconut,234779,Zaid,Y1,High
2004,Chikmangaluru,2088,4102.78,27.2,Dry sandy ,Basin,50,57.5,Coconut,1493,Zaid,Y1,High
2004,Chikmangaluru,1289,3020.82,27.2,Dry sandy ,Basin,10,57,Coconut,64409,Zaid,Y1,High
2004,Chikmangaluru,1051,3020.82,27.2,Dry sandy ,Basin,29,55,Coconut,249978,Zaid,Y1,High
2004,Chikmangaluru,4,3020.82,27,Dry sandy ,Basin,44,56,Coconut,200000,Zaid,Y1,High
2004,Chikmangaluru,909,3696,27,Dry sandy ,Basin,33,54,Coconut,4847,Zaid,Y1,High
2004,Chikmangaluru,743,3696,27,Dry sandy ,Basin,14,58,Coconut,51239,Zaid,Y1,High
2004,Chikmangaluru,663,3696,27,Dry sandy ,Basin,56,58,Coconut,216396,Zaid,Y1,High
2004,Chikmangaluru,501,3965.94,27,Dry sandy ,Basin,26,59,Coconut,2644,Zaid,Y1,High
2004,Chikmangaluru,317,3965.94,27,Dry sandy ,Basin,98,50,Coconut,44235,Zaid,Y1,High
2004,Chikmangaluru,171,3965.94,27.2,Dry sandy ,Basin,3,54,Coconut,203317,Zaid,Y1,High
2004,Chikmangaluru,124,3863.64,27.2,Dry sandy ,Basin,58637,53,Coconut,2134,Zaid,Y1,High
2004,Chikmangaluru,90,3863.64,27.2,Dry sandy ,Basin,59777,52,Coconut,45186,Zaid,Y1,High
2004,Chikmangaluru,61,3863.64,27.1,Dry sandy ,Basin,60528,51,Coconut,238542,Zaid,Y1,High
2004,Chikmangaluru,43,3625.6,27.1,Dry sandy ,Basin,61126,57,Coconut,1516,Zaid,Y1,High
2004,Chikmangaluru,2177,3625.6,27.1,Dry sandy ,Basin,623687,57,Coconut,57259,Zaid,Y1,High
2004,Chikmangaluru,1872,3625.6,26.8,Dry sandy ,Basin,63504,60,Coconut,234779,Zaid,Y1,High
2004,Chikmangaluru,1772,3905,26.8,Dry sandy ,Basin,63931,57,Coconut,1493,Zaid,Y1,High
2004,Chikmangaluru,1618,3905,26.8,Dry sandy ,Basin,73730,57,Coconut,64409,Zaid,Y1,High
2004,Chikmangaluru,1625,3905,37,Dry sandy ,Basin,118416,54,Coconut,249978,Zaid,Y1,High
2004,Chikmangaluru,1648,4019.4,37,Dry sandy ,Basin,130132,54.5,Coconut,637,Zaid,Y1,High
2004,Chikmangaluru,1649,4019.4,37,Dry sandy ,Basin,154889,56.6,Coconut,43311,Zaid,Y1,High
2004,Chikmangaluru,1680,4019.4,38,Dry sandy ,Basin,171739,55.5,Coconut,24848,Zaid,Y1,High
2004,Chikmangaluru,1661,3193.41,39,Dry sandy ,Basin,2783,53,Coconut,646,Zaid,Y1,High
2004,Chikmangaluru,1511,3193.41,39,Dry sandy ,Spray,1533,53.5,Coconut,43562,Zaid,Y1,High
2004,Chikmangaluru,1491,3193.41,40,Dry sandy ,Spray,1647,52.5,Coconut,200000,Zaid,Y1,High
2004,Chikmangaluru,1457,3296.26,40,Dry sandy ,Spray,975,56,Coconut,4847,Zaid,Y1,High
2004,Chikmangaluru,1189,3296.26,40,Dry sandy ,Spray,2,57,Coconut,51239,Zaid,Y1,High
2004,Chikmangaluru,460,3296.26,41,Dry sandy ,Spray,836,57.5,Coconut,216396,Zaid,Y1,High
2004,Chikmangaluru,329,3875.08,41,Dry sandy ,Spray,806,57,Coconut,2644,Zaid,Y1,High
2004,Chikmangaluru,143,3875.08,41,Dry sandy ,Spray,880,55,Coconut,44235,Zaid,Y1,High
2004,Chikmangaluru,41,3875.08,42,Dry sandy ,Spray,770,56,Coconut,203317,Zaid,Y1,High
2004,Chikmangaluru,140,4102.78,42,Dry sandy ,Spray,395,54,Coconut,2134,Zaid,Y1,High
2004,Chikmangaluru,163,4102.78,42,Dry sandy ,Spray,187,58,Coconut,45186,Zaid,Y1,High
2004,Chikmangaluru,167,4102.78,43,Dry sandy ,Spray,187,58,Coconut,238542,Zaid,Y1,High
2004,Chikmangaluru,197,3020.82,43,Dry sandy ,Spray,121,59,Coconut,1516,Zaid,Y1,High
2004,Chikmangaluru,100,3020.82,27,Dry sandy ,Spray,103,50,Coconut,57259,Zaid,Y1,High
2004,Chikmangaluru,67,3020.82,27,Dry sandy ,Spray,71,54,Coconut,234779,Zaid,Y1,High
2004,Chikmangaluru,60,3696,27,Dry sandy ,Spray,3961,53,Coconut,1493,Zaid,Y1,High
2004,Chikmangaluru,14,3696,27,Dry sandy ,Spray,4247,52,Coconut,64409,Zaid,Y1,High
2004,Chikmangaluru,30,3696,27,Dry sandy ,Spray,3290,51,Coconut,249978,Zaid,Y1,High
2004,Chikmangaluru,29,3965.94,27,Dry sandy ,Spray,3138,57,Coconut,637,Zaid,Y1,High
2004,Chikmangaluru,4839,3965.94,27.2,Dry sandy ,Spray,3423,57,Coconut,43311,Zaid,Y1,High
2004,Chikmangaluru,5371,3965.94,27.2,Dry sandy ,Spray,3899,60,Coconut,24848,Zaid,Y1,High
2004,Chikmangaluru,5432,3863.64,27.2,Dry sandy ,Spray,4015,57,Coconut,761,Zaid,Y1,High
2004,Chikmangaluru,4759,3863.64,27,Dry sandy ,Spray,4279,57,Coconut,45608,Zaid,Y1,High
2004,Chikmangaluru,264,3863.64,27,Dry sandy ,Spray,4167,54,Coconut,234581,Zaid,Y1,High
2004,Chikmangaluru,5241,3625.6,27,Laterite,Spray,4479,54.5,Coconut,646,Zaid,Y1,High
2004,Chikmangaluru,5434,3625.6,27,Laterite,Spray,3699,56.6,Coconut,43562,Zaid,Y1,High
2004,Chikmangaluru,5010,3625.6,27,Laterite,Spray,4904,55.5,Coconut,200000,Zaid,Y1,High
2004,Chikmangaluru,5268,3905,27,Laterite,Spray,2821,58.5,Coconut,4847,Zaid,Y1,High
2004,Chikmangaluru,4228,3905,27.2,Laterite,Spray,3472,59.5,Coconut,51239,Zaid,Y1,High
2004,Chikmangaluru,3788,3905,27.2,Laterite,Spray,3647,55,Coconut,216396,Zaid,Y1,High
2004,Chikmangaluru,1036,4019.4,27.2,Laterite,Spray,393,53,Coconut,2644,Zaid,Y1,High
2004,Chikmangaluru,10760,4019.4,27.1,Laterite,Spray,167,53.5,Coconut,44235,Zaid,Y1,High
2004,Chikmangaluru,42216,4019.4,27.1,Laterite,Spray,71,52.5,Coconut,203317,Zaid,Y1,High
2004,Chikmangaluru,167,3415.5,37,Laterite,Spray,32,54,Coconut,51239,Zaid,Y1,High
2005,Chikmangaluru,8847,3415.5,38,Laterite,Spray,22,58,Coconut,216396,Zaid,Y1,High
2006,Chikmangaluru,41626,3415.5,38,Laterite,Spray,25,58,Coconut,2644,Zaid,Y1,High
2009,Chikmangaluru,41884,3193.41,39,Laterite,Spray,12,54,Coconut,2134,Zaid,Y1,High
2004,Hassan,125,4102.78,42,Laterite,Drip,2331,54.5,Coffee,43311,Zaid,Y1,High
2005,Hassan,8357,4102.78,43,Laterite,Drip,2088,56.6,Coffee,24848,Zaid,Y1,High
2006,Hassan,38948,3020.82,27,Laterite,Drip,2628,55.5,Coffee,761,Zaid,Y1,High
2007,Hassan,116,3020.82,27,Laterite,Drip,1939,58.5,Coffee,45608,Zaid,Y1,High
2008,Hassan,7520,3020.82,27,Alluvial,Drip,1871,59.5,Coffee,234581,Zaid,Y1,High
2009,Hassan,38232,3696,27,Alluvial,Drip,1868,55,Coffee,646,Zaid,Y1,High
2004,Hassan,89,3625.6,27,Alluvial,Drip,6589,54,Cardamum,45186,Zaid,Y1,High
2005,Hassan,5528,3625.6,27,Alluvial,Drip,5107,58,Cardamum,238542,Zaid,Y1,High
2006,Hassan,34841,3905,27,Alluvial,Drip,5518,58,Cardamum,1516,Zaid,Y1,High
2007,Hassan,77,3905,27,Alluvial,Drip,4912,59,Cardamum,57259,Zaid,Y1,High
2008,Hassan,5217,3905,27.2,Alluvial,Drip,3830,50,Cardamum,234779,Zaid,Y1,High
2009,Hassan,3250,4019.4,27.2,Alluvial,Drip,4,54,Cardamum,1493,Zaid,Y1,High
2004,Hassan,5693,3296.26,26.8,Alluvial,Drip,2404,54.5,Pepper,43562,Kharif,Y1,High
2005,Hassan,5997,3296.26,26.8,Alluvial,Drip,2805,56.6,Pepper,200000,Kharif,Y1,High
2006,Hassan,6076,3875.08,37,Alluvial,Drip,2331,55.5,Pepper,4847,Kharif,Y1,High
2007,Hassan,6249,3875.08,37,Alluvial,Drip,2088,58.5,Pepper,51239,Kharif,Y1,High
2008,Hassan,6363,3875.08,37,Red,Drip,2628,59.5,Pepper,216396,Kharif,Y1,High
2009,Hassan,26,4102.78,38,Red,Basin,1939,55,Pepper,2644,Kharif,Y1,High
2004,Hassan,14,3965.94,41,Red,Basin,864,54,Arecanut,216396,Kharif,Y1,High
2005,Hassan,3,3965.94,41,Red,Basin,5373,58,Arecanut,2644,Kharif,Y1,High
2006,Hassan,7,3863.64,42,Red,Basin,6589,58,Arecanut,44235,Kharif,Y1,High
2007,Hassan,17,3863.64,42,Red,Basin,5107,59,Arecanut,203317,Kharif,Y1,High
2008,Hassan,9,3863.64,27,Red,Basin,5518,50,Arecanut,2134,Kharif,Y1,High
2009,Hassan,4,3625.6,27,Red,Basin,4912,54,Arecanut,45186,Kharif,Y1,High
2011,Mangalore,5997,256.3,27,Loam,Drip,841,54,Coffee,637,Rabi,Y2,Low
2012,Mangalore,6076,256.3,27,Loam,Drip,3550,54.5,Coffee,43311,Rabi,Y2,Low
2013,Mangalore,6249,256.3,27,Loam,Drip,109,56.6,Coffee,24848,Rabi,Y2,Low
2014,Mangalore,6363,257.4,27,Loam,Drip,3368,55.5,Coffee,761,Rabi,Y2,Low
2015,Mangalore,26,257.4,27,Loam,Drip,3671,58.5,Coffee,45608,Rabi,Y2,Low
2012,Kodagu,1723,259.6,38,Laterite,Basin,2089,56.6,Ginger,761,Rabi,Y2,Low
2013,Mysuru,1693,259.6,38,Laterite,Basin,2810,55.5,Ginger,45608,Rabi,Y2,Low
2013,Gulbarga,84,257.4,27,Black,Drip,71,56,Cashew,249978,Rabi,Y2,Low
2015,Madikeri,13,257.4,27,Alluvial,Drip,126487,56,Coconut,2644,Rabi,Y2,Low
2015,Madikeri,11485,259.6,27.2,Alluvial,Drip,132551,54,Coconut,1516,Rabi,Y2,Low
2011,Chikmangaluru,1649,256.3,42,Arid and Desert,Basin,8954,57,Coconut,45608,Rabi,Y2,Low
2012,Chikmangaluru,1680,256.3,43,Arid and Desert,Basin,42915,57,Coconut,234581,Rabi,Y2,Low
2013,Chikmangaluru,1723,256.3,27,Black,Basin,9230,60,Coconut,646,Rabi,Y2,Low
2014,Chikmangaluru,1693,257.4,27,Black,Basin,44313,57,Coconut,43562,Rabi,Y2,Low
2015,Chikmangaluru,1668,257.4,27,Black,Basin,45820,57,Coconut,200000,Rabi,Y2,Low
2014,Chikmangaluru,41,355.3,27,Black,Basin,95,53.5,Coconut,238542,Rabi,Y2,Low
2015,Chikmangaluru,140,356.4,27,Black,Basin,19,52.5,Coconut,1516,Rabi,Y2,Low
2014,Hassan,143,256.3,134,Alluvial,Spray,806,58,Coconut,45186,Rabi,Y2,Low
2015,Hassan,8686,256.3,135,Alluvial,Spray,880,58,Coconut,238542,Rabi,Y2,Low
2010,Gulbarga,5,256.3,176,Laterite,Drip,4279,54,Cashew,234581,Rabi,Y2,Low
2011,Gulbarga,8,256.3,177,Laterite,Drip,4167,53,Coconut,646,Rabi,Y2,Low
2012,Gulbarga,45,257.4,178,Laterite,Drip,4479,59.5,Coconut,43562,Rabi,Y2,Low
2013,Gulbarga,55,257.4,179,Laterite,Drip,3699,55,Coconut,200000,Rabi,Y2,Low
2014,Gulbarga,45,257.4,180,Laterite,Drip,4904,53,Coconut,4847,Rabi,Y2,Low
2010,Madikeri,77,256.3,221,Loam,Drip,24184,51,Coconut,1493,Rabi,Y2,Low
2011,Madikeri,5217,257.4,222,Loam,Drip,124387,57,Coconut,64409,Rabi,Y2,Low
2012,Hassan,3250,257.4,27,Loam,Drip,343,57,Coconut,249978,Rabi,Y2,Low
2013,Hassan,3950,257.4,27,Loam,Drip,23099,60,Coconut,637,Rabi,Y2,Low
2010,Hassan,12243,257.4,27,Alluvial,Basin,13,52.5,Coconut,1516,Rabi,Y2,Low
2011,Hassan,13142,257.4,27,Alluvial,Basin,123,56,Coconut,57259,Rabi,Y2,Low
2015,Hassan,14395,259.6,27,Alluvial,Basin,50,55,Coconut,249978,Rabi,Y2,Low
2013,Hassan,5241,259.6,27,Black,Spray,2821,55,Coconut,216396,Rabi,Y2,Low
2014,Hassan,5434,259.6,27,Black,Spray,3472,53,Coconut,2644,Rabi,Y2,Low
2010,Kodagu,36177,256.3,27,Black,Drip,5518,50,Cardamum,234779,Rabi,Y2,Low
2011,Kodagu,89,256.3,27,Black,Drip,4912,54,Cardamum,1493,Rabi,Y2,Low
2012,Kodagu,5528,256.3,27,Black,Drip,3830,53,Cardamum,64409,Rabi,Y2,Low
2013,Kodagu,34841,257.4,27,Black,Drip,4,52,Cardamum,249978,Rabi,Y2,Low
2014,Kodagu,77,257.4,27.2,Black,Drip,9,51,Cardamum,637,Rabi,Y2,Low
2015,Kodagu,5217,257.4,27.2,Black,Drip,12,57,Cardamum,43311,Rabi,Y2,Low
2015,Mysuru,14245,256.3,27.1,Loam,Basin,127919,57,Tea,203317,Rabi,Y2,Low
2013,Mysuru,2088,257.4,37,Loam,Basin,972,58,Tea,1516,Rabi,Y2,Low
2014,Mysuru,1289,257.4,37,Loam,Basin,874,58,Tea,57259,Rabi,Y2,Low
2013,Raichur,34,257.4,137,Heavy clay,Drip,4904,59.5,Coconut,43562,Zaid,Y2,Low
2013,Chikmangaluru,588,256.3,27.1,Laterite,Spray,52,56,Coconut,2134,Zaid,Y2,Low
2014,Chikmangaluru,10437,256.3,26.8,Laterite,Spray,12,57,Coconut,45186,Zaid,Y2,Low
2015,Chikmangaluru,41455,256.3,26.8,Laterite,Spray,51,57.5,Coconut,238542,Zaid,Y2,Low
2012,Hassan,4013,256.3,27.1,Alluvial,Drip,2089,51,Cardamum,637,Zaid,Y2,Low
2013,Hassan,4065,256.3,27.1,Alluvial,Drip,2810,57,Cardamum,43311,Zaid,Y2,Low
2014,Hassan,4153,256.3,26.8,Alluvial,Drip,841,57,Cardamum,24848,Zaid,Y2,Low
2016,Mangalore,1,257.4,27.2,Loam,Drip,2404,59.5,Coffee,234581,Rabi,Y3,Low
2019,Kodagu,43,256.3,27.1,Laterite,Basin,5373,52,Arecanut,1516,Rabi,Y3,Low
2016,Raichur,7520,256.3,143,Black,Drip,395,56,Cashew,1516,Rabi,Y3,Low
2017,Raichur,38232,256.3,144,Black,Drip,187,57,Cashew,57259,Rabi,Y3,Low
2018,Raichur,128,256.3,27,Black,Drip,187,57.5,Cashew,234779,Rabi,Y3,Low
2019,Raichur,7276,257.4,27,Black,Drip,121,57,Cashew,1493,Rabi,Y3,Low
2017,Gulbarga,5629,259.6,27.2,Black,Drip,3138,59,Cashew,761,Rabi,Y3,Low
2018,Gulbarga,36177,259.6,27.2,Black,Drip,3423,50,Cashew,45608,Rabi,Y3,Low
2016,Madikeri,17,256.3,43,Alluvial,Drip,107809,57.5,Coconut,4847,Rabi,Y3,Low
2017,Madikeri,9,256.3,43,Alluvial,Drip,1132,57,Coconut,51239,Rabi,Y3,Low
2018,Madikeri,4,256.3,27,Alluvial,Drip,23960,55,Coconut,216396,Rabi,Y3,Low
2016,Madikeri,6,257.4,27,Alluvial,Drip,804,54,Coconut,44235,Rabi,Y3,Low
2017,Madikeri,23,257.4,27,Alluvial,Drip,30362,58,Coconut,203317,Rabi,Y3,Low
2016,Chikmangaluru,1661,257.4,27,Black,Basin,49084,54,Coconut,4847,Rabi,Y3,Low
2016,Chikmangaluru,1189,259.6,27.2,Black,Basin,60751,58.5,Coconut,44235,Rabi,Y3,Low
2017,Chikmangaluru,460,259.6,27.2,Black,Basin,109506,59.5,Coconut,203317,Rabi,Y3,Low
2018,Chikmangaluru,329,353.1,27,Black,Basin,114,55,Coconut,2134,Rabi,Y3,Low
2017,Chikmangaluru,167,358.6,27,Black,Basin,13,57,Coconut,234779,Rabi,Y3,Low
2018,Chikmangaluru,197,359.7,27.2,Black,Basin,123,57.5,Coconut,1493,Rabi,Y3,Low
2016,Hassan,41884,256.3,136,Alluvial,Spray,770,59,Coconut,1516,Rabi,Y3,Low
2017,Hassan,118,257.4,137,Alluvial,Spray,395,50,Coconut,57259,Rabi,Y3,Low
